Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
203	Spectrogram 1	1	6835.623443604	6837.085906982	105	205	FP
204	Spectrogram 1	1	6914.248260498	6915.223236084	115	195	FP
205	Spectrogram 1	1	6952.968719482	6953.734771729	75	125	FP
206	Spectrogram 1	1	6968.359405518	6968.986175537	125	155	FP
207	Spectrogram 1	1	6976.159210205	6977.064544678	135	195	FP
208	Spectrogram 1	1	6980.407318115	6981.382293701	55	125	FP
85	Spectrogram 1	1	6990.072252388	6991.712656836	66.8	173.1	FN
209	Spectrogram 1	1	7004.572784424	7005.826324463	135	185	FP
210	Spectrogram 1	1	7009.37802124	7010.2137146	55	175	FP
211	Spectrogram 1	1	7033.613128662	7033.961334229	75	105	FP
212	Spectrogram 1	1	7044.686065674	7045.730682373	125	215	FP
86	Spectrogram 1	1	7060.823870697	7062.241847423	57.7	170.8	FN
213	Spectrogram 1	1	7076.86026001	7077.695953369	65	135	FP
87	Spectrogram 1	1	7079.766414271	7081.239997927	62.2	170.8	FN
214	Spectrogram 1	1	7083.476165771	7084.172576904	75	155	FP
215	Spectrogram 1	1	7136.055206299	7136.403411865	215	245	FP
88	Spectrogram 1	1	7137.767339019	7139.074101884	71.3	193.5	TP
217	Spectrogram 1	1	7140.651519775	7141.139007568	175	225	FP
218	Spectrogram 1	1	7188.146759033	7188.843170166	75	125	FP
219	Spectrogram 1	1	7197.339385986	7198.035797119	95	125	FP
220	Spectrogram 1	1	7240.029388428	7240.377593994	185	205	FP
221	Spectrogram 1	1	7249.8487854	7250.614837646	205	235	FP
222	Spectrogram 1	1	7283.067596436	7283.903289795	65	145	FP
223	Spectrogram 1	1	7287.872833252	7288.569244385	85	145	FP
89	Spectrogram 1	1	7319.735836563	7320.542137054	105.2	195.7	FN
224	Spectrogram 1	1	7424.50869751	7424.926544189	105	135	FP
225	Spectrogram 1	1	7567.412261963	7568.317596436	125	165	FP
90	Spectrogram 1	1	7572.850749414	7573.740460301	73.5	175.4	FN
91	Spectrogram 1	1	7621.126009824	7622.210344967	71.3	136.9	FN
226	Spectrogram 1	1	7655.090423584	7655.926116943	85	145	FP
227	Spectrogram 1	1	7691.93057251	7692.975189209	75	95	FP
92	Spectrogram 1	1	7700.657974653	7701.436471679	48.7	132.4	FN
228	Spectrogram 1	1	7759.621734619	7760.109222412	55	125	FP
229	Spectrogram 1	1	7773.828521729	7774.385650635	115	145	FP
230	Spectrogram 1	1	7775.360626221	7776.126678467	165	195	FP
231	Spectrogram 1	1	7781.001556396	7781.628326416	155	205	FP
232	Spectrogram 1	1	7794.860137939	7795.835113525	125	185	FP
233	Spectrogram 1	1	7815.056060791	7815.543548584	165	215	FP
234	Spectrogram 1	1	7824.457611084	7824.945098877	215	235	FP
235	Spectrogram 1	1	7825.43258667	7825.989715576	145	175	FP
93	Spectrogram 1	1	7841.877628132	7843.295604858	35.1	132.4	FN
236	Spectrogram 1	1	7856.701446533	7857.0496521	135	155	FP
237	Spectrogram 1	1	7923.69619751	7924.392608643	135	175	FP
238	Spectrogram 1	1	7985.050018311	7985.537506104	165	195	FP
239	Spectrogram 1	1	7999.953216553	8000.440704346	75	165	FP
94	Spectrogram 1	1	8007.986992497	8009.043524176	66.8	150.5	FN
240	Spectrogram 1	1	8069.872894287	8070.499664307	145	175	FP
241	Spectrogram 1	1	8122.800140381	8123.287628174	205	245	FP
242	Spectrogram 1	1	8145.781707764	8146.478118896	175	225	FP
243	Spectrogram 1	1	8222.31729126	8223.013702393	155	225	FP
95	Spectrogram 1	1	8236.048147914	8237.438321175	64.5	188.9	FN
244	Spectrogram 1	1	8243.906036377	8244.60244751	135	215	FP
245	Spectrogram 1	1	8254.421844482	8255.327178955	85	135	FP
246	Spectrogram 1	1	8259.505645752	8260.202056885	115	135	FP
247	Spectrogram 1	1	8308.045501709	8309.299041748	95	175	FP
96	Spectrogram 1	1	8318.710807341	8319.795142484	64.5	139.2	FN
248	Spectrogram 1	1	8322.113006592	8322.948699951	55	105	FP
249	Spectrogram 1	1	8324.062957764	8324.62008667	205	235	FP
250	Spectrogram 1	1	8362.295928955	8362.853057861	165	205	FP
251	Spectrogram 1	1	8366.404754639	8367.101165771	205	245	FP
252	Spectrogram 1	1	8370.583221436	8371.209991455	95	145	FP
253	Spectrogram 1	1	8404.498443604	8405.125213623	165	245	FP
97	Spectrogram 1	1	8416.312311351	8417.368843029	75.8	157.3	FN
254	Spectrogram 1	1	8416.964202881	8417.660614014	135	185	TP
98	Spectrogram 1	1	8460.072252388	8461.184390997	64.5	139.2	FN
255	Spectrogram 1	1	8465.295135498	8465.991546631	85	155	FP
256	Spectrogram 1	1	8550.675140381	8551.441192627	165	225	FP
257	Spectrogram 1	1	8569.33895874	8570.1746521	165	185	FP
99	Spectrogram 1	1	8583.430923193	8585.488379619	48.7	168.6	FN
258	Spectrogram 1	1	8630.623138428	8631.389190674	105	155	FP
259	Spectrogram 1	1	8634.453399658	8635.776580811	125	195	FP
101	Spectrogram 1	1	8652.008322729	8653.898958364	32.8	202.5	FN
100	Spectrogram 1	1	8671.876703384	8673.600518228	53.2	229.7	FN
102	Spectrogram 1	1	8695.209420219	8696.822021202	39.6	125.6	FN
260	Spectrogram 1	1	8698.244659424	8698.941070557	85	135	FP
103	Spectrogram 1	1	8710.62924644	8712.075026631	93.9	184.4	FN
261	Spectrogram 1	1	8727.006439209	8727.633209229	165	215	FP
262	Spectrogram 1	1	8730.279571533	8730.906341553	195	235	FP
104	Spectrogram 1	1	8733.822945949	8735.546760792	44.1	177.6	FN
263	Spectrogram 1	1	8756.74319458	8757.509246826	145	225	FP
105	Spectrogram 1	1	8762.65520041	8763.98976674	69	186.7	FN
106	Spectrogram 1	1	8795.602367723	8797.214968705	39.6	175.4	FN
107	Spectrogram 1	1	8821.876703384	8823.795142484	57.7	175.4	FN
264	Spectrogram 1	1	8830.075286865	8831.189544678	95	165	FP
108	Spectrogram 1	1	8854.682079128	8856.711732088	73.5	220.6	FN
109	Spectrogram 1	1	8887.570865267	8888.988841993	80.3	186.7	FN
265	Spectrogram 1	1	8890.0362854	8890.523773193	95	135	FP
266	Spectrogram 1	1	8892.613006592	8893.796905518	145	245	FP
267	Spectrogram 1	1	8898.532501221	8898.9503479	165	235	FP
110	Spectrogram 1	1	8930.154738036	8931.961963275	96.2	229.7	FN
111	Spectrogram 1	1	8949.464275144	8951.021269196	71.3	202.5	FN
268	Spectrogram 1	1	8971.377105713	8971.934234619	135	185	FP
112	Spectrogram 1	1	8974.156587532	8975.936009305	44.1	159.5	FN
113	Spectrogram 1	1	8991.656125158	8992.879477627	37.3	150.5	FN
114	Spectrogram 1	1	9009.906356345	9011.352136536	82.6	157.3	FN
269	Spectrogram 1	1	9040.739654541	9041.714630127	175	245	FP
270	Spectrogram 1	1	9051.603668213	9052.091156006	85	125	FP
271	Spectrogram 1	1	9055.78213501	9056.339263916	165	215	FP
115	Spectrogram 1	1	9056.210344967	9057.711732088	53.2	148.2	FN
272	Spectrogram 1	1	9074.097747803	9074.863800049	75	155	FP
273	Spectrogram 1	1	9078.833343506	9079.599395752	135	195	FP
116	Spectrogram 1	1	9098.182541502	9100.184390997	39.6	177.6	FN
274	Spectrogram 1	1	9105.993377686	9107.037994385	115	205	FP
275	Spectrogram 1	1	9124.866119385	9125.632171631	185	235	TP
117	Spectrogram 1	1	9125.157512279	9127.24277217	53.2	222.9	FN
276	Spectrogram 1	1	9153.697540283	9154.324310303	175	245	FP
118	Spectrogram 1	1	9171.350287041	9173.407743466	64.5	177.6	FN
119	Spectrogram 1	1	9195.350287041	9197.046298419	46.4	175.4	FN
