Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
250	Waveform 1	1	17470.017570206	17471.741385049	53.2	191.2	FN
251	Waveform 1	1	17515.823870697	17516.991616236	89.4	179.9	FN
252	Waveform 1	1	17641.017570206	17642.157512279	93.9	168.6	FN
253	Waveform 1	1	17921.931549072	17922.349395752	135.0	175.0	TP
254	Waveform 1	1	18072.711732088	18073.518032580	112.0	207.0	FN
255	Waveform 1	1	18122.516183084	18123.711732088	80.3	182.1	FN
256	Waveform 1	1	18151.267801393	18152.491153862	114.3	195.7	FN
257	Waveform 1	1	18193.879477627	18194.796991979	134.6	182.1	FN
258	Waveform 1	1	18266.599593480	18268.629246440	66.8	184.4	FN
259	Waveform 1	1	18448.737686058	18450.600518228	105.2	191.2	FN
260	Waveform 1	1	18494.210344967	18495.350287041	89.4	186.7	FN
261	Waveform 1	1	18592.017570206	18593.046298419	118.8	179.9	FN
262	Waveform 1	1	18629.554901123	18629.972747803	135.0	175.0	TP
263	Waveform 1	1	18686.173126221	18686.730255127	135.0	175.0	TP
264	Waveform 1	1	18699.961963275	18700.768263766	84.9	139.2	FN
265	Waveform 1	1	19030.848899919	19032.989766740	57.7	198.0	FN
266	Waveform 1	1	19201.462425649	19202.518957327	87.1	186.7	FN
