Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
282	Waveform 1	1	12071.849824667	12072.739535554	123.3	204.8	FN
283	Waveform 1	1	12118.095432115	12119.290981119	121.1	259.1	FN
284	Waveform 1	1	12140.735836563	12141.430923193	98.4	225.1	FN
285	Waveform 1	1	12160.404044476	12161.099131106	103.0	222.9	FN
286	Waveform 1	1	12163.184390997	12163.935084558	118.8	227.4	FN
287	Waveform 1	1	12341.816472716	12342.622773207	78.1	136.9	FN
288	Waveform 1	1	12372.711732088	12373.935084558	66.8	161.8	FN
289	Waveform 1	1	12408.850749414	12409.879477627	73.5	173.1	FN
290	Waveform 1	1	12411.992540983	12412.548610288	114.3	222.9	FN
291	Waveform 1	1	12438.700635116	12439.395721747	98.4	170.8	FN
292	Waveform 1	1	12456.911904831	12458.190864231	93.9	175.4	FN
293	Waveform 1	1	12479.460576154	12480.461500901	84.9	175.4	FN
294	Waveform 1	1	12505.626472197	12506.571790015	71.3	175.4	FN
295	Waveform 1	1	12538.623697954	12540.208495472	73.5	166.3	FN
296	Waveform 1	1	12565.181616754	12566.126934571	93.9	155.0	FN
297	Waveform 1	1	12625.818322211	12626.791443493	84.9	161.8	FN
298	Waveform 1	1	12647.068553398	12647.958264285	98.4	161.8	FN
299	Waveform 1	1	12668.321558828	12669.656125158	75.8	200.2	FN
300	Waveform 1	1	12688.570865267	12689.460576154	112.0	198.0	FN
301	Waveform 1	1	12890.874853889	12891.653350915	130.1	202.5	FN
302	Waveform 1	1	12924.736761311	12925.737686058	130.1	200.2	FN
303	Waveform 1	1	12952.323408323	12953.324333071	118.8	191.2	FN
304	Waveform 1	1	12984.820171706	12985.654275663	107.5	173.1	FN
305	Waveform 1	1	13059.683928623	13060.434622184	114.3	193.5	FN
306	Waveform 1	1	13114.929536072	13116.041674680	71.3	204.8	FN
307	Waveform 1	1	13152.900807859	13154.513408841	64.5	188.9	FN
308	Waveform 1	1	13188.211269715	13189.295604858	78.1	150.5	FN
309	Waveform 1	1	13237.787744503	13238.816472716	69.0	195.7	FN
310	Waveform 1	1	13271.571790015	13272.656125158	69.0	166.3	FN
311	Waveform 1	1	13413.767339019	13414.518032580	69.0	186.7	FN
312	Waveform 1	1	13447.073177136	13447.740460301	93.9	202.5	FN
313	Waveform 1	1	13651.404044476	13652.182541502	109.7	182.1	FN
314	Waveform 1	1	13686.878552880	13687.823870697	109.7	193.5	FN
315	Waveform 1	1	13855.540287559	13856.902657354	96.2	188.9	FN
316	Waveform 1	1	13881.702362061	13882.398773193	67.0	226.0	TP
317	Waveform 1	1	13908.600518228	13909.907281093	132.4	211.6	FN
318	Waveform 1	1	13950.995269775	13952.388092041	67.0	226.0	FP
319	Waveform 1	1	13998.769073486	13999.883331299	67.0	226.0	FP
320	Waveform 1	1	14017.762715280	14018.986067750	112.0	195.7	FN
321	Waveform 1	1	14051.624622702	14052.847975171	87.1	243.2	FN
322	Waveform 1	1	14101.682079128	14102.683003875	71.3	170.8	FN
323	Waveform 1	1	14159.349362293	14160.294680110	82.6	182.1	FN
324	Waveform 1	1	14184.362640381	14186.103668213	67.0	226.0	FP
325	Waveform 1	1	14282.847050424	14283.931385567	75.8	175.4	FN
326	Waveform 1	1	14481.931385567	14482.709882593	69.0	177.6	FN
327	Waveform 1	1	14587.045373671	14587.962888023	103.0	166.3	FN
328	Waveform 1	1	14719.237223684	14720.321558828	93.9	202.5	FN
329	Waveform 1	1	14763.266876645	14764.100980601	116.5	182.1	FN
330	Waveform 1	1	14848.212194462	14849.157512279	125.6	204.8	FN
