Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
155	Spectrogram 1	1	14066.999914008	14067.656692332	86.4	157.8	FN
102	Spectrogram 1	1	14104.136077881	14104.484283447	90	150	TP
157	Spectrogram 1	1	14151.855838366	14152.554989486	93.3	171.6	FN
158	Spectrogram 1	1	14186.525314288	14187.245651805	91	148.6	TP
104	Spectrogram 1	1	14226.843719482	14227.540130615	105	165	TP
160	Spectrogram 1	1	14274.016881436	14274.970269327	88.7	160.1	TP
106	Spectrogram 1	1	14362.992095947	14363.618865967	45	150	TP
162	Spectrogram 1	1	14387.716022384	14388.627037479	93.3	173.9	TP
108	Spectrogram 1	1	14405.124969482	14405.612457275	90	150	TP
164	Spectrogram 1	1	14407.110105655	14408.211798328	84.1	222.3	FN
165	Spectrogram 1	1	14416.305002202	14417.131271707	74.8	141.7	FN
166	Spectrogram 1	1	14417.216017297	14417.872795622	74.8	148.6	FN
167	Spectrogram 1	1	14424.694815641	14426.008372291	77.1	197	FN
168	Spectrogram 1	1	14434.338906541	14436.055004745	72.5	183.1	FN
169	Spectrogram 1	1	14470.639735076	14471.720241353	107.1	245.3	TP
170	Spectrogram 1	1	14482.258410438	14483.593153485	70.2	187.7	FN
110	Spectrogram 1	1	14493.15133667	14493.987030029	105	210	TP
111	Spectrogram 1	1	14495.728057861	14496.145904541	45	90	FP
172	Spectrogram 1	1	14546.025339719	14546.915168417	109.4	210.8	FN
173	Spectrogram 1	1	14570.292294432	14571.372800708	86.4	215.4	FN
174	Spectrogram 1	1	14601.67787873	14602.673639416	79.4	215.4	TP
175	Spectrogram 1	1	14606.529563774	14607.249901292	86.4	148.6	FN
176	Spectrogram 1	1	14642.732989812	14643.749936896	70.2	173.9	FN
177	Spectrogram 1	1	14653.665170961	14655.042286803	91	192.3	FN
178	Spectrogram 1	1	14762.932135846	14763.610100568	100.2	164.7	FN
179	Spectrogram 1	1	14791.309251688	14792.643994735	65.6	190	TP
180	Spectrogram 1	1	14858.317699799	14859.038037316	100.2	162.4	FN
181	Spectrogram 1	1	14883.241432836	14883.771092776	100.2	148.6	FN
182	Spectrogram 1	1	14916.258369748	14916.788029687	95.6	150.9	FN
183	Spectrogram 1	1	14992.194820727	14992.788039859	93.3	192.3	FN
184	Spectrogram 1	1	15128.148239136	15129.927896532	65.6	185.4	FN
114	Spectrogram 1	1	15129.113983154	15129.740753174	120	165	TP
115	Spectrogram 1	1	15160.939971924	15161.636383057	75	120	TP
186	Spectrogram 1	1	15173.410913845	15174.682097699	67.9	197	TP
187	Spectrogram 1	1	15195.749906378	15196.978717438	74.8	178.5	FN
188	Spectrogram 1	1	15220.885503392	15221.817704885	70.2	201.6	FN
117	Spectrogram 1	1	15247.364593506	15248.269927979	45	135	FP
189	Spectrogram 1	1	15266.050775603	15267.660941819	79.4	162.4	FN
190	Spectrogram 1	1	15268.868566481	15269.906699962	79.4	141.7	FN
191	Spectrogram 1	1	15280.542271544	15281.199049869	77.1	144	FN
192	Spectrogram 1	1	15321.385518651	15322.6990753	70.2	229.2	FN
118	Spectrogram 1	1	15350.363800049	15350.781646729	60	105	FP
193	Spectrogram 1	1	15357.919397559	15359.148208618	81.7	187.7	TP
120	Spectrogram 1	1	15412.414031982	15412.971160889	105	150	FP
194	Spectrogram 1	1	15426.355863797	15427.711793242	70.2	180.8	FN
195	Spectrogram 1	1	15459.563478287	15460.728730153	67.9	171.6	FN
196	Spectrogram 1	1	15528.792279173	15529.385498305	97.9	169.3	FN
121	Spectrogram 1	1	15597.86831665	15598.355804443	105	165	TP
198	Spectrogram 1	1	15620.05502509	15621.029599378	114	169.3	FN
199	Spectrogram 1	1	15649.512647209	15650.275357521	97.9	171.6	FN
200	Spectrogram 1	1	15683.737208781	15684.372800708	91	164.7	FN
122	Spectrogram 1	1	15714.865386963	15715.422515869	90	135	TP
202	Spectrogram 1	1	15748.182102785	15749.326168254	70.2	187.7	FN
123	Spectrogram 1	1	15748.780609131	15749.268096924	120	165	TP
203	Spectrogram 1	1	15750.809216084	15751.55074	95.6	167	TP
204	Spectrogram 1	1	15776.432100242	15777.364301735	93.3	150.9	TP
126	Spectrogram 1	1	15788.545684814	15789.242095947	45	90	FP
206	Spectrogram 1	1	15811.978747955	15812.889763051	88.7	148.6	FN
127	Spectrogram 1	1	15820.371673584	15820.92880249	90	135	TP
207	Spectrogram 1	1	15833.186331927	15833.906669444	81.7	146.3	TP
208	Spectrogram 1	1	15891.45332733	15892.894002365	65.6	132.4	FN
209	Spectrogram 1	1	15939.957520867	15940.847349566	88.7	157.8	FN
210	Spectrogram 1	1	16096.660921474	16097.444818184	93.3	155.5	FN
211	Spectrogram 1	1	16108.173664847	16108.85162957	79.4	139.4	FN
212	Spectrogram 1	1	16111.563488459	16112.834672314	79.4	192.3	TP
213	Spectrogram 1	1	16115.355853625	16116.775342262	81.7	197	FN
130	Spectrogram 1	1	16131.040679932	16131.458526611	105	150	TP
215	Spectrogram 1	1	16144.232974554	16145.271108035	81.7	164.7	FN
216	Spectrogram 1	1	16275.440609388	16276.245692496	86.4	155.5	FN
131	Spectrogram 1	1	16293.79196167	16294.418731689	90	165	TP
218	Spectrogram 1	1	16314.538042403	16315.088888739	63.3	134.7	FN
132	Spectrogram 1	1	16337.039093018	16337.387298584	105	150	TP
220	Spectrogram 1	1	16383.821964544	16384.563488459	100.2	164.7	FN
221	Spectrogram 1	1	16535.127052738	16536.398236593	84.1	167	FN
222	Spectrogram 1	1	16838.597402971	16839.847400428	79.4	192.3	FN
223	Spectrogram 1	1	16896.326208944	16896.982987269	79.4	141.7	TP
224	Spectrogram 1	1	16912.639735076	16913.275327004	86.4	139.4	FN
225	Spectrogram 1	1	16927.436370074	16928.071962001	86.4	150.9	FN
226	Spectrogram 1	1	16959.436359901	16960.220256611	79.4	134.7	TP
227	Spectrogram 1	1	17161.211788156	17162.143989649	91	187.7	FN
228	Spectrogram 1	1	17259.720282043	17260.525365151	100.2	178.5	FN
229	Spectrogram 1	1	17284.63548559	17285.461755095	95.6	187.7	FN
135	Spectrogram 1	1	17337.921173096	17338.547943115	60	135	FP
230	Spectrogram 1	1	17384.60162194	17385.597382626	88.7	180.8	FN
