Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
169	Waveform 1	1	12215.982946579	12216.491420121	95.6	157.8	FN
170	Waveform 1	1	12232.531158447	12233.088287354	67.0	226.0	FP
171	Waveform 1	1	12254.220266784	12255.004163494	88.7	155.5	FN
172	Waveform 1	1	12260.526885986	12261.014373779	67.0	226.0	FP
173	Waveform 1	1	12392.631276793	12393.415173504	79.4	150.9	FN
174	Waveform 1	1	12408.805027633	12409.440619560	88.7	167.0	FN
175	Waveform 1	1	12426.262619234	12427.088888739	100.2	160.1	FN
176	Waveform 1	1	12453.293487549	12454.268463135	67.0	226.0	FP
177	Waveform 1	1	12462.974518814	12463.673669934	77.1	160.1	FN
178	Waveform 1	1	12549.588914171	12550.266878893	79.4	155.5	FN
179	Waveform 1	1	12587.309231343	12588.114314451	79.4	146.3	FN
180	Waveform 1	1	12680.966040186	12681.686377703	91.0	164.7	FN
181	Waveform 1	1	12883.605926514	12884.093414307	67.0	226.0	FP
182	Waveform 1	1	12938.351604138	12938.966009668	77.1	144.0	FN
183	Waveform 1	1	12955.309251688	12956.114334796	88.7	162.4	FN
184	Waveform 1	1	13022.470306396	13023.027435303	67.0	226.0	TP
185	Waveform 1	1	13057.885533909	13058.648244222	86.4	164.7	FN
186	Waveform 1	1	13112.864471436	13113.491241455	67.0	226.0	TP
187	Waveform 1	1	13161.470233723	13162.338876024	88.7	141.7	FN
188	Waveform 1	1	13175.611114502	13176.098602295	67.0	226.0	FP
189	Waveform 1	1	13231.305002202	13232.321949285	79.4	157.8	FN
190	Waveform 1	1	13360.508270264	13361.135040283	67.0	226.0	FP
191	Waveform 1	1	13378.475677490	13379.102447510	67.0	226.0	TP
192	Waveform 1	1	13394.144927979	13395.259185791	67.0	226.0	TP
193	Waveform 1	1	13432.238616943	13432.865386963	67.0	226.0	TP
194	Waveform 1	1	13462.114654541	13463.159271240	67.0	226.0	FP
195	Waveform 1	1	13519.063483373	13519.614329710	107.1	155.5	FN
196	Waveform 1	1	13566.855868884	13567.385528823	95.6	150.9	FN
197	Waveform 1	1	13683.393987106	13684.029579033	100.2	157.8	FN
198	Waveform 1	1	13694.516845832	13695.576165711	81.7	157.8	FN
199	Waveform 1	1	13709.419412818	13710.669410275	63.3	127.8	FN
200	Waveform 1	1	13813.732635498	13814.568328857	67.0	226.0	FP
201	Waveform 1	1	13859.940573784	13860.893961675	81.7	146.3	FN
202	Waveform 1	1	13928.652463191	13929.627037479	97.9	155.5	FN
203	Waveform 1	1	14027.288075463	14028.029599378	111.7	169.3	FN
204	Waveform 1	1	14066.999914008	14067.656692332	86.4	157.8	FN
205	Waveform 1	1	14104.042266458	14104.635485590	61.0	155.5	FN
206	Waveform 1	1	14151.855838366	14152.554989486	93.3	171.6	FN
207	Waveform 1	1	14158.038299561	14158.734710693	67.0	226.0	FP
208	Waveform 1	1	14172.523651123	14173.080780029	67.0	226.0	FP
209	Waveform 1	1	14186.525314288	14187.245651805	91.0	148.6	FN
210	Waveform 1	1	14227.029579033	14227.665170961	102.5	167.0	FN
211	Waveform 1	1	14274.338958740	14275.035369873	67.0	226.0	TP
212	Waveform 1	1	14337.503448486	14338.756988525	67.0	226.0	FP
213	Waveform 1	1	14363.061737061	14363.549224854	67.0	226.0	TP
214	Waveform 1	1	14387.716022384	14388.627037479	93.3	173.9	FN
215	Waveform 1	1	14404.949093102	14405.860108198	93.3	157.8	FN
216	Waveform 1	1	14407.110105655	14408.211798328	84.1	222.3	FN
217	Waveform 1	1	14416.305002202	14417.131271707	74.8	141.7	FN
218	Waveform 1	1	14417.216017297	14417.872795622	74.8	148.6	FN
219	Waveform 1	1	14424.694815641	14426.008372291	77.1	197.0	FN
220	Waveform 1	1	14434.338906541	14436.055004745	72.5	183.1	FN
221	Waveform 1	1	14470.796539307	14471.492950439	67.0	226.0	TP
222	Waveform 1	1	14482.287322998	14483.262298584	67.0	226.0	TP
223	Waveform 1	1	14493.084659598	14494.101606682	81.7	254.6	FN
224	Waveform 1	1	14546.025339719	14546.915168417	109.4	210.8	FN
225	Waveform 1	1	14570.292294432	14571.372800708	86.4	215.4	FN
226	Waveform 1	1	14601.791473389	14602.487884521	67.0	226.0	TP
227	Waveform 1	1	14606.529563774	14607.249901292	86.4	148.6	FN
228	Waveform 1	1	14642.732989812	14643.749936896	70.2	173.9	FN
229	Waveform 1	1	14653.665170961	14655.042286803	91.0	192.3	FN
230	Waveform 1	1	14678.814544678	14679.510955811	67.0	226.0	FP
231	Waveform 1	1	14715.306488037	14716.351104736	67.0	226.0	FP
232	Waveform 1	1	14762.932135846	14763.610100568	100.2	164.7	FN
233	Waveform 1	1	14776.521026611	14777.565643311	67.0	226.0	FP
234	Waveform 1	1	14791.309251688	14792.643994735	65.6	190.0	FN
235	Waveform 1	1	14857.931488037	14858.697540283	67.0	226.0	TP
236	Waveform 1	1	14883.241432836	14883.771092776	100.2	148.6	FN
237	Waveform 1	1	14916.258369748	14916.788029687	95.6	150.9	FN
238	Waveform 1	1	14992.194820727	14992.788039859	93.3	192.3	FN
239	Waveform 1	1	15022.423797607	15023.468414307	67.0	226.0	FP
240	Waveform 1	1	15029.109344482	15029.666473389	67.0	226.0	FP
241	Waveform 1	1	15128.278289795	15129.601470947	67.0	226.0	TP
242	Waveform 1	1	15134.685272217	15136.008453369	67.0	226.0	FP
243	Waveform 1	1	15160.939971924	15161.914947510	67.0	226.0	TP
244	Waveform 1	1	15173.410913845	15174.682097699	67.9	197.0	FN
245	Waveform 1	1	15195.749906378	15196.978717438	74.8	178.5	FN
246	Waveform 1	1	15221.109893799	15221.667022705	67.0	226.0	TP
247	Waveform 1	1	15247.294952393	15248.200286865	67.0	226.0	FP
248	Waveform 1	1	15266.050775603	15267.660941819	79.4	162.4	FN
249	Waveform 1	1	15268.868566481	15269.906699962	79.4	141.7	FN
250	Waveform 1	1	15280.542271544	15281.199049869	77.1	144.0	FN
251	Waveform 1	1	15321.385518651	15322.699075300	70.2	229.2	FN
252	Waveform 1	1	15357.919397559	15359.148208618	81.7	187.7	FN
253	Waveform 1	1	15427.108306885	15428.292205811	67.0	226.0	TP
254	Waveform 1	1	15459.563478287	15460.728730153	67.9	171.6	FN
255	Waveform 1	1	15505.593841553	15506.081329346	67.0	226.0	FP
256	Waveform 1	1	15528.792279173	15529.385498305	97.9	169.3	FN
257	Waveform 1	1	15597.450469971	15598.286163330	67.0	226.0	TP
258	Waveform 1	1	15620.055025090	15621.029599378	114.0	169.3	FN
259	Waveform 1	1	15649.512647209	15650.275357521	97.9	171.6	FN
260	Waveform 1	1	15683.737208781	15684.372800708	91.0	164.7	FN
261	Waveform 1	1	15714.762624320	15715.588893826	97.9	155.5	FN
262	Waveform 1	1	15748.182102785	15749.326168254	70.2	187.7	FN
263	Waveform 1	1	15750.809216084	15751.550740000	95.6	167.0	FN
264	Waveform 1	1	15776.432100242	15777.364301735	93.3	150.9	FN
